college_name,Cluster,branch_name,Category ,cutoff_2022_R1,cutoff_2022_R2,cutoff_2022_R3,cutoff_2023_R1,cutoff_2023_R2,cutoff_2023_R3,cutoff_2024_R1,cutoff_2024_R2,cutoff_2024_R3,cutoff_2025_R1,cutoff_2025_R2,cutoff_2025_R3
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,2AK,4753,6894,14392,10543,10747,10747,5856,5856,5856,4862,4862,4862
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,2AR,3411,5932,10684,4999,6117,6117,3860,3860,3860,2295,2559,6497
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,2BG,5529,5529,6482,5547,6401,5547,2858,3506,3506,3937,4622,4622
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,2BK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,2BR,12184,12184,12184,--,--,--,6095,6095,6095,7791,7791,7791
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,3AG,1565,1875,1900,1565,1639,1639,1968,1968,1968,1384,1980,3168
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,3AK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,3AR,--,--,--,--,--,--,3158,3793,3793,--,--,--
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,3BG,1895,2009,2181,1832,1832,1838,1956,2290,2363,2155,2483,2483
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,3BK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,3BR,2806,3289,6736,4252,5893,5893,3185,3185,3185,2200,2691,2691
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,GM,776,1145,1737,761,969,1366,746,995,1354,573,914,1100
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,GMK,4122,4753,4753,4743,4743,4743,4000,4000,4000,3632,3632,3632
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,GMR,2643,3094,4872,2665,3563,3563,3084,3158,3158,2115,2200,2295
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,SCG,8915,9914,20365,11988,12448,16080,14641,15024,15024,13568,14356,14356
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,SCK,20724,20724,20724,22018,22018,22018,25618,28765,32078,31839,26600,26600
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,SCR,13796,14778,39566,24848,31536,24848,15510,21462,21462,16408,16408,20505
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,STG,4550,7574,9056,13670,17802,13670,22676,28258,28258,12671,12785,12785
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,STK,--,--,--,--,--,--,56231,56231,56231,24193,24193,24193
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND COMMUNICATION ENGINEERING,STR,9056,9056,15979,20237,20237,20237,23109,37844,62214,13104,13104,13104
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,1G,6188,6188,6188,11082,11082,--,5309,5309,5309,3987,4846,4846
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,1K,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,1R,--,--,--,--,--,--,18144,18144,18144,--,--,--
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,2AG,8026,9529,9529,6738,6738,6738,5769,5769,5769,4498,4720,4720
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,2AK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,2AR,11030,16835,50350,16284,16284,16284,12684,12684,21394,9568,9568,9568
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,2BG,11946,11946,11946,9975,9975,9975,12805,15359,15359,5000,5000,5000
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,2BK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,2BR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,3AG,6477,6477,6477,4594,5096,--,3938,3938,3938,2039,3713,5938
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,3AK,--,--,--,--,--,--,29054,29054,29054,--,--,--
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,3AR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,3BG,4035,4035,13392,5457,5457,5457,4303,4303,4303,2483,3894,3894
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,3BK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,3BR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,GM,2795,3927,6073,2397,3119,4663,1240,2119,2347,987,1507,1422
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,GMK,33321,33321,33321,--,--,--,--,--,--,11328,11328,11328
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,GMR,7992,7992,25587,10981,12245,12245,8330,8330,8330,8055,9340,9340
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,SCG,37001,37001,50853,34304,34304,34304,--,--,--,24657,26799.75,26799.75
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,SCK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,SCR,51489,73123,73123,36070,36070,36070,--,--,--,57966,75192,75192
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,STG,--,--,--,43824,67522,67522,28258,32335,64616,20511,20511,20511
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,STK,--,--,--,119357,119357,119357,--,--,--,--,--,--
R. V. College of Engineering,Electronics Cluster,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,STR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,1G,26341,34641,35842,28618,28618,28618,16653,27080,27080,--,15934.5,15934.5
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,1K,--,--,--,--,--,--,--,--,--,83183,--,--
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,1R,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,2AG,30945,39805,51944,27920,27920,27920,26703,26703,49727,21964,26478,26478
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,2AK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,2AR,50061,74026,74026,61487,122007,122007,33510,49727,109214,28229,28229,28229
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,2BG,25929,25929,122487,--,--,--,37494,69096,69096,18099,18099,18099
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,2BK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,2BR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,3AG,25488,27425,29420,46672,46672,46672,15870,23971,23971,15228.5,15228.5,19688
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,3AK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,3AR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,3BG,23080,67040,67040,36603,36603,36603,24945,24945,27903,15717.5,19728,19728
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,3BK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,3BR,--,--,--,--,56071,56071,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,GM,22207,24914,27893,16624,16875,21189,13536,19695,21255,8703,13086,15717.5
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,GMK,67762,67762,67762,32684,32684,32684,28983,28983,28983,--,--,--
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,GMR,46621,50061,50061,27743,54292,54292,28395,33510,35911,11845,21517,25376
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,SCG,79172,79172,93406,64510,64510,64510,--,--,--,53712,83866,83866
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,SCK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,SCR,--,--,--,--,--,--,96205,96205,96205,83866,107316,107316
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,STG,--,--,--,160749,160749,160749,74755,74755,74755,92894,93039,93039
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,STK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,INDUSTRIAL ENGINEERING AND MANAGEMENT,STR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,1G,13942,16738,32257,20779,20779,20779,11574,11574,39009,9298,9298,9298
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,1K,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,1R,--,--,--,53783,76701,76701,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,2AG,19819,24915,24915,21908,24398,21908,16158,17980,17980,13089,16810,19179
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,2AK,46189,46189,100797,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,2AR,41940,41940,41940,22958,27129,40650,20191,29807,29807,18580,19179,29462
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,2BG,19360,19360,138406,18688,18688,18688,13964,30435,30435,10241.5,10241.5,10241.5
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,2BK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,2BR,--,--,--,--,--,--,21456,70000,109256,--,--,--
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,3AG,11390,15452,38971,15803,15803,15803,6229,14483,14483,7587,7587,9021
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,3AK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,3AR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,3BG,15119,15119,21651,21423,23111,23111,12340,14491,14491,7540,7826,9690
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,3BK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,3BR,31110,31110,61287,--,--,--,--,--,--,12585,19538,19538
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,GM,7320,11234,14590,6023,6137,11815,3958,6390,8395,2900.5,5007.5,5812
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,GMK,27303,36320,46189,18424,18424,27129,32152,53053,55420,14155,23881,23881
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,GMR,30068,30068,31110,16068,24824,33449,17179,17616,21410,11969,14076,14076
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,SCG,50399,50700,85008,66470,66470,85152,--,--,--,48258,48258,60651.5
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,SCK,--,--,--,86808,86808,86808,55420,55420,--,64865,140282,140282
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,SCR,64826,65975,120773,115440,115440,115440,51920,95133,95133,49961,49961,96917
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,STG,57267,57267,78185,72298,72298,72298,61778,61778,61778,50016,50016,50016
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,STK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,MECHANICAL ENGINEERING,STR,--,--,--,77419,129975,129975,64188,64188,64188,76351,92894,92894
